City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,antsiranana,-12.2787,49.2917,26.31,90,49,3.84,MG,1712770984
84,ribeira grande,38.5167,-28.7,16.54,100,75,7.6,PT,1712770984
85,kohat,33.582,71.4493,23.04,44,99,1.8,PK,1712770984
86,namibe,-15.1961,12.1522,22.37,72,41,4.1,AO,1712770984
87,pangody,65.85,74.4859,-29.23,100,47,1.91,RU,1712770985
88,sitka,57.0531,-135.33,6.94,65,100,5.14,US,1712770985
89,ta`u,-14.2336,-169.5144,29.03,79,54,4.74,AS,1712770985
90,alice springs,-23.7,133.8833,12.34,50,3,0.45,AU,1712770985
91,solnechnyy,50.7214,136.6319,3.91,73,88,2.91,RU,1712770985
92,tazacorte,28.629,-17.9293,23.97,76,20,5.66,ES,1712770986
93,bereeda,11.8704,51.0579,27.59,72,3,5.36,SO,1712770986
94,dalbandin,28.8947,64.4101,27.26,15,51,3.38,PK,1712770986
95,longyearbyen,78.2186,15.6401,-14.09,72,0,4.12,SJ,1712770986
96,undurkhaan,47.3194,110.6556,8.53,43,73,3.49,MN,1712770986
97,atafu village,-8.5421,-172.5159,29.83,76,64,4.75,TK,1712770986
98,aasiaat,68.7098,-52.8699,-7.46,74,95,2.97,GL,1712770986
99,bulayevo,54.9056,70.4439,-0.8,93,100,3.08,KZ,1712770987
100,cururupu,-1.8283,-44.8683,27.3,93,98,1.4,BR,1712770987
101,dudinka,69.4058,86.1778,-31.29,100,83,1.79,RU,1712770951
102,miastko,54.0028,16.9826,8.22,71,96,4.22,PL,1712770712
103,kasongo-lunda,-6.4667,16.8167,25.68,77,56,0.5,CD,1712770987
104,worland,44.0169,-107.9554,8.27,54,75,11.32,US,1712770952
105,bredasdorp,-34.5322,20.0403,15.98,67,94,6.26,ZA,1712770988
106,nouadhibou,20.931,-17.0347,21.99,68,0,8.75,MR,1712770941
107,prince george,53.9166,-122.753,5.14,59,0,3.6,CA,1712770988
108,yuzhno-kurilsk,44.0306,145.8556,0.21,83,1,1.61,RU,1712770988
109,rio grande,-32.035,-52.0986,25.06,74,85,7.02,BR,1712770826
110,marat,25.0701,45.4615,24.21,55,81,0.42,SA,1712770988
111,micheweni,-4.9667,39.8333,28.29,83,82,4.56,TZ,1712770989
112,astara,38.5,48.6667,13.99,91,100,1.59,AZ,1712770989
113,saipan,15.1355,145.701,27.39,69,40,6.69,MP,1712770975
114,vadso,70.0744,29.7487,3.49,87,75,5.14,NO,1712770989
